ST_CD,ST_NM,SSN_DAY_M_1,SSN_DAY_M_2,SSN_DAY_M_3,SSN_DAY_M_4,SSN_DAY_M_5,SSN_DAY_M_6,SSN_DAY_M_7,SSN_DAY_M_8,SSN_DAY_M_9,SSN_DAY_M_10,SSN_DAY_M_11,SSN_DAY_M_12,L_CONS_M_1,L_CONS_M_2,L_CONS_M_3,L_CONS_M_4,L_CONS_M_5,L_CONS_M_6,L_CONS_M_7,L_CONS_M_8,L_CONS_M_9,L_CONS_M_10,L_CONS_M_11,L_CONS_M_12,L_OPT_SALES_GR_M_1,L_OPT_SALES_GR_M_2,L_OPT_SALES_GR_M_3,L_OPT_SALES_GR_M_4,L_OPT_SALES_GR_M_5,L_OPT_SALES_GR_M_6,L_OPT_SALES_GR_M_7,L_OPT_SALES_GR_M_8,L_OPT_SALES_GR_M_9,L_OPT_SALES_GR_M_10,L_OPT_SALES_GR_M_11,L_OPT_SALES_GR_M_12
HO10,BBSR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HM20,SGR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU45,PGRH,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HM21,JBLPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HJ11,DGHR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HX10,KTH,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU49,BHRCH-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO11,JEYPORE,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HJ12,R-DHWR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB21,SHRSA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK05,BLGM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO12,B-2-PTRPD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO13,B-3-PATIA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB19,SMSTPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HT16,KHTM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HJ15,CHAS,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN13,BRPT,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO15,JJPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK07,VJPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB22,BARH,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HG10,PNJM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HJ14,DUMKA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU48,AKBRPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK10,GLBRG,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HM22,REWA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB24,BANKA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU54,PDRNA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN14,JRHT,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN15,GW-3-ADBR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO16,ANGUL,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU55,V-3-CHTPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HG11,BCHLM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU57,JNK PRM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU58,AZAM-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HT17,HLDN-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB26,AURNGBD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO19,BHADRAK,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO18,BLSRE,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO20,NMPDA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU59,BASTI,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO21,SNDRGH,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
