ST_CD,MAJCAT,MERCHCAT,CLR,MC_CLR_CONT_1,MC_CLR_CONT_2,MC_CLR_CONT_3,MC_CLR_CONT_4,MC_CLR_CONT_5,MC_CLR_CONT_6,MC_CLR_CONT_7,MC_CLR_CONT_8,MC_CLR_CONT_9,MC_CLR_CONT_10,MC_CLR_CONT_11,MC_CLR_CONT_12
HA10,M_JEANS,M_BLK_JEANS,BLK,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HA10,M_JEANS,M_BLK_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_BLK_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLK_JEANS,GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_BLK_JEANS,MNT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_BLK_JEANS,L_GRY,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HA10,M_JEANS,M_BLK_JEANS,D_GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HA10,M_JEANS,M_BLU_JEANS,BLK,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLU_JEANS,D_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HA10,M_JEANS,M_BLU_JEANS,L_BL,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_BLU_JEANS,M_BL,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HA10,M_JEANS,M_BLU_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLU_JEANS,S_BL,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HA10,M_JEANS,M_BLU_JEANS,BL,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,L_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_COL_JEANS,NV_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_COL_JEANS,OLV,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,D_GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_COL_JEANS,BLK,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_COL_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_COL_JEANS,L_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_COL_JEANS,L_GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HA10,M_JEANS,M_COL_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,M_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HA10,M_JEANS,M_COL_JEANS,BEG,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_COL_JEANS,GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HA10,M_JEANS,M_COL_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,OL_GRN,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,PST,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,S_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_JGR_JEANS,D_GRY,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HA10,M_JEANS,M_JGR_JEANS,L_GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_JGR_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_JGR_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,GRY,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HA10,M_JEANS,M_JGR_JEANS,NV_BL,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HA10,M_JEANS,M_JGR_JEANS,S_BL,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HA10,M_JEANS,M_JGR_JEANS,OLV,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_BLK_JEANS,BLK,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%
HB05,M_JEANS,M_BLK_JEANS,D_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLK_JEANS,L_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_BLK_JEANS,M_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_BLK_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_BLK_JEANS,MNT,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB05,M_JEANS,M_BLK_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_BLK_JEANS,CRM,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB05,M_JEANS,M_BLK_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_BLU_JEANS,D_BL,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB05,M_JEANS,M_BLU_JEANS,L_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB05,M_JEANS,M_BLU_JEANS,M_BL,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
HB05,M_JEANS,M_BLU_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB05,M_JEANS,M_BLU_JEANS,S_BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB05,M_JEANS,M_BLU_JEANS,BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB05,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_BLU_JEANS,NV_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_BLU_JEANS,GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,OL_GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,L_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_BLU_JEANS,RY_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,NV_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,OLV,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,D_GRY,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HB05,M_JEANS,M_COL_JEANS,BLK,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_COL_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,L_GRY,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HB05,M_JEANS,M_COL_JEANS,M_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_COL_JEANS,M_GRY,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB05,M_JEANS,M_COL_JEANS,BEG,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB05,M_JEANS,M_COL_JEANS,GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB05,M_JEANS,M_COL_JEANS,BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,OL_GRN,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_COL_JEANS,PST,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB05,M_JEANS,M_COL_JEANS,S_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_JGR_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_JGR_JEANS,D_GRY,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB05,M_JEANS,M_JGR_JEANS,L_GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB05,M_JEANS,M_JGR_JEANS,OL_GRN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_JGR_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_JGR_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_JGR_JEANS,L_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_JGR_JEANS,GRY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB05,M_JEANS,M_JGR_JEANS,NV_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB05,M_JEANS,M_JGR_JEANS,S_BL,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HB05,M_JEANS,M_JGR_JEANS,OLV,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB06,M_JEANS,M_BLK_JEANS,BLK,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%
HB06,M_JEANS,M_BLK_JEANS,D_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB06,M_JEANS,M_BLK_JEANS,L_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB06,M_JEANS,M_BLK_JEANS,M_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_BLK_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,GRY,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB06,M_JEANS,M_BLK_JEANS,MNT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB06,M_JEANS,M_BLK_JEANS,L_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,D_GRY,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB06,M_JEANS,M_BLU_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_BLU_JEANS,D_BL,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB06,M_JEANS,M_BLU_JEANS,L_BL,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HB06,M_JEANS,M_BLU_JEANS,M_BL,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%
HB06,M_JEANS,M_BLU_JEANS,M_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_BLU_JEANS,S_BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB06,M_JEANS,M_BLU_JEANS,BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB06,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_BLU_JEANS,L_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB06,M_JEANS,M_BLU_JEANS,GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,NV_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,OLV,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB06,M_JEANS,M_COL_JEANS,D_GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB06,M_JEANS,M_COL_JEANS,BLK,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB06,M_JEANS,M_COL_JEANS,D_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB06,M_JEANS,M_COL_JEANS,L_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,L_GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB06,M_JEANS,M_COL_JEANS,M_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,M_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB06,M_JEANS,M_COL_JEANS,BEG,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB06,M_JEANS,M_COL_JEANS,GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB06,M_JEANS,M_COL_JEANS,BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB06,M_JEANS,M_COL_JEANS,OL_GRN,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB06,M_JEANS,M_COL_JEANS,PST,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,S_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB06,M_JEANS,M_JGR_JEANS,D_BL,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
HB06,M_JEANS,M_JGR_JEANS,D_GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB06,M_JEANS,M_JGR_JEANS,L_GRY,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB06,M_JEANS,M_JGR_JEANS,OL_GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,BLK,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB06,M_JEANS,M_JGR_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_JGR_JEANS,NV_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB06,M_JEANS,M_JGR_JEANS,S_BL,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB06,M_JEANS,M_JGR_JEANS,OLV,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB07,M_JEANS,M_BLK_JEANS,BLK,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
HB07,M_JEANS,M_BLK_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_BLK_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB07,M_JEANS,M_BLK_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_BLU_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_BLU_JEANS,D_BL,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HB07,M_JEANS,M_BLU_JEANS,L_BL,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB07,M_JEANS,M_BLU_JEANS,M_BL,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB07,M_JEANS,M_BLU_JEANS,M_GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB07,M_JEANS,M_BLU_JEANS,S_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB07,M_JEANS,M_BLU_JEANS,BL,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HB07,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,OL_GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,L_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB07,M_JEANS,M_BLU_JEANS,RY_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,NV_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB07,M_JEANS,M_COL_JEANS,OLV,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_COL_JEANS,D_GRY,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HB07,M_JEANS,M_COL_JEANS,BLK,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB07,M_JEANS,M_COL_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB07,M_JEANS,M_COL_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,L_GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB07,M_JEANS,M_COL_JEANS,M_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_COL_JEANS,M_GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB07,M_JEANS,M_COL_JEANS,BEG,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_COL_JEANS,GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB07,M_JEANS,M_COL_JEANS,OL_GRN,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB07,M_JEANS,M_COL_JEANS,PST,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB07,M_JEANS,M_COL_JEANS,S_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_JGR_JEANS,D_BL,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB07,M_JEANS,M_JGR_JEANS,D_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB07,M_JEANS,M_JGR_JEANS,L_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB07,M_JEANS,M_JGR_JEANS,OL_GRN,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB07,M_JEANS,M_JGR_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_JGR_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_JGR_JEANS,L_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB07,M_JEANS,M_JGR_JEANS,GRY,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%
HB07,M_JEANS,M_JGR_JEANS,NV_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB07,M_JEANS,M_JGR_JEANS,S_BL,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB07,M_JEANS,M_JGR_JEANS,DNM_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_JGR_JEANS,BEG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_BLK_JEANS,BLK,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%
HB08,M_JEANS,M_BLK_JEANS,D_BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB08,M_JEANS,M_BLK_JEANS,M_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_BLK_JEANS,M_GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB08,M_JEANS,M_BLK_JEANS,GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB08,M_JEANS,M_BLK_JEANS,MNT,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB08,M_JEANS,M_BLK_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_BLU_JEANS,BLK,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB08,M_JEANS,M_BLU_JEANS,D_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB08,M_JEANS,M_BLU_JEANS,L_BL,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%
HB08,M_JEANS,M_BLU_JEANS,M_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB08,M_JEANS,M_BLU_JEANS,M_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB08,M_JEANS,M_BLU_JEANS,S_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB08,M_JEANS,M_BLU_JEANS,BL,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB08,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_BLU_JEANS,OL_GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_BLU_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_COL_JEANS,NV_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB08,M_JEANS,M_COL_JEANS,OLV,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB08,M_JEANS,M_COL_JEANS,D_GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB08,M_JEANS,M_COL_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB08,M_JEANS,M_COL_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB08,M_JEANS,M_COL_JEANS,L_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB08,M_JEANS,M_COL_JEANS,L_GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB08,M_JEANS,M_COL_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_COL_JEANS,M_GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB08,M_JEANS,M_COL_JEANS,BEG,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB08,M_JEANS,M_COL_JEANS,GRY,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HB08,M_JEANS,M_COL_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_COL_JEANS,OL_GRN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_COL_JEANS,PST,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_COL_JEANS,S_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_JGR_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB08,M_JEANS,M_JGR_JEANS,D_GRY,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%
HB08,M_JEANS,M_JGR_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
